Model,Accuracy,Precision,Recall,F1,AUC,Training Time (s),Inference Latency (ms)
TF-IDF + LogReg,0.907,0.9109518935516888,0.8998988877654196,0.9053916581892166,0.9693502913852575,3.3004634380340576,0.27645349502563477
DistilBERT,0.9155,0.9166666666666666,0.9120323559150657,0.9143436391282311,0.9720901229048714,106.22292995452881,6.016538143157959
RoBERTa,0.939,0.9313432835820895,0.9464105156723963,0.9388164493480441,0.9866738875403924,223.28485703468323,13.837413787841797
